StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
34161,16664,121732.0,121732.0,,40929.0,40929.0,10,32,,3.0,2.0
34165,16590,121725.0,121725.0,,40927.0,40927.0,10,32,,3.0,2.0
34166,16692,121740.0,121740.0,,40931.0,40931.0,10,32,,3.0,3.0
34167,16696,121714.0,121714.0,,40925.0,40925.0,10,32,,3.0,1.0
34169,16701,121727.0,121727.0,,40928.0,40928.0,10,32,,3.0,1.0
34170,16711,121725.0,121725.0,,40927.0,40927.0,10,32,,3.0,2.0
34175,3477,121771.0,121771.0,,40934.0,40934.0,10,32,,13.0,1.0
34176,5344,121714.0,121714.0,False,40925.0,40925.0,10,32,1.0,13.0,1.0
34177,5572,121725.0,121725.0,,40927.0,40927.0,10,32,,13.0,1.0
34179,16703,121761.0,121920.0,,40934.0,40926.0,10,32,,13.0,1.0
34180,16914,121738.0,121738.0,,40930.0,40930.0,10,32,,13.0,1.0
34182,17543,121740.0,121740.0,,40931.0,40931.0,10,32,,13.0,1.0
34183,2978,121714.0,121714.0,False,40925.0,40925.0,10,32,1.0,13.0,2.0
34187,16212,121718.0,121718.0,,40926.0,40926.0,10,32,,13.0,2.0
34189,17028,121769.0,121769.0,,40934.0,40934.0,10,32,,13.0,2.0
34190,17522,121741.0,121741.0,,40931.0,40931.0,10,32,,13.0,2.0
34191,17526,121742.0,121742.0,,40931.0,40931.0,10,32,,13.0,2.0
34192,17530,121748.0,121748.0,,40932.0,40932.0,10,32,,13.0,2.0
