SchoolID,SchoolName,Description,Address1,Place
10,"PEARL SCHOOL, AL THUMAMA",10,"P. O. Box 33032, Doha","Thumama , Doha"
20,"PEARL SCHOOL, WESTBAY",20,"P. O. Box 33032, Doha","Westbay , Doha"
30,"PODAR PEARL SCHOOL, AL MESHAF",30,"P. O. Box 33032, Doha","Meshaf , Doha"
40,"PODAR PEARL KINDERGARTEN, AL WUKAIR",40,"P. O. Box 33032, Doha",Barwa Madinatna
50,"PEARL KINDERGARTEN, AL WUKAIR",50,"P. O. Box 33032, Doha",Barwa Madinatna
