RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
121278,40850,WAKRAH JABAL,,,0.0,0.0,,
121279,40850,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121280,40851,MESHAF,,,25.338151,51.4783909,25.338151,51.4783909
121281,40851,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121282,40852,AL NASR,,,25.2717606,51.5031783,25.2717606,51.5031783
121283,40852,AL SADD,,,25.2781809,51.5019019,25.2781809,51.5019019
121284,40852,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121285,40853,ABU HAMOUR,,,25.225796,51.4772388,25.225796,51.4772388
121286,40853,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121287,40854,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
121288,40854,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121289,40855,OLD GHANIM,,,25.2812509,51.5356481,25.2812509,51.5356481
121290,40855,UMM GHWALINA,,,0.0,0.0,,
121291,40855,OLD SALATA,,,25.2858617,51.5466421,25.2858617,51.5466421
121292,40855,BHND KEO,,,0.0,0.0,,
121293,40855,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121294,40856,MUSHEREIB,,,0.0,0.0,,
121295,40856,FAREEJ ABDUL AZIZ,,,0.0,0.0,,
121296,40856,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121297,40857,HILAL,,,25.2603758,51.5464884,25.2603758,51.5464884
121298,40857,NUAIJA,,,25.2476252,51.531772,25.2476252,51.531772
121299,40857,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121300,40851,UMM BASHER,,,0.0,0.0,,
121301,40851,EZDAN AL JANOUB,,,25.1667559,51.5666943,25.1667559,51.5666943
121302,40858,THUMAMA HEALTH CENTER,,,0.0,0.0,,
121303,40858,THUMAMA KAHRAMA,,,0.0,0.0,,
121304,40858,THUMAMA B SQUARE MALL,,,0.0,0.0,,
