School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),3,BARWA MADINATNA,DROP OFF,3,0,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),4,WUKAIR ( T A ),DROP OFF,0,13,13,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),5,WUKAIR,DROP OFF,0,4,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),6,EZDAN 04,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),7,EZDAN 57,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),8,EZDAN 09,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),9,EZDAN 06,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),10,EZDAN  06,DROP OFF,0,6,6,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),11,EZDAN 05,DROP OFF,0,11,11,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),12,EZDAN 18,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),13,AL WAKRAH,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),14,WAKRAH,DROP OFF,0,3,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),15,EZDAN 23,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),16,EZDAN OASIS,DROP OFF,0,10,10,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),17,NUAIJA,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),18,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),2,BIN OMRAN (Part 2),PICK UP,9,4,13,4.98,6.9
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),3,MESHAF,PICK UP,0,5,5,10.29,13.7
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),4,DUHAIL,PICK UP,0,2,2,13.20,19.1
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),5,UMM SLAL MOHAMMED,PICK UP,4,0,4,23.56,32.0
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),6,GHARAFA,PICK UP,13,10,23,33.38,43.1
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),7,LUQTA,PICK UP,1,3,4,39.56,51.4
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),8,MADINAT KHALIFA NORTH,PICK UP,4,6,10,42.11,56.3
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),9,MARKHIYA,PICK UP,0,1,1,46.01,62.0
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),10,DAFNA,PICK UP,3,0,3,51.38,68.2
"PEARL SCHOOL, WESTBAY",89159,AM (Pickup),11,SCHOOL,DROP OFF,0,0,0,57.90,76.2
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),2,DAFNA,DROP OFF,3,0,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),3,MARKHIYA,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),4,MADINAT KHALIFA NORTH,DROP OFF,4,6,10,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),5,LUQTA,DROP OFF,1,3,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),6,GHARAFA,DROP OFF,13,10,23,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),7,UMM SLAL MOHAMMED,DROP OFF,4,0,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),8,DUHAIL,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),9,MESHAF,DROP OFF,0,5,5,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),10,BIN OMRAN (Part 2),DROP OFF,9,4,13,N/A,N/A
"PEARL SCHOOL, WESTBAY",89159,PM (Drop-off),11,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",88694,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",88694,AM (Pickup),2,BIN MAHMOUD,PICK UP,9,5,14,2.57,4.3
"PEARL SCHOOL, WESTBAY",88694,AM (Pickup),3,STAFF (Part 4),PICK UP,0,24,24,3.66,6.6
"PEARL SCHOOL, WESTBAY",88694,AM (Pickup),4,STAFF (Part 1),PICK UP,0,24,24,3.66,6.6
"PEARL SCHOOL, WESTBAY",88694,AM (Pickup),5,SCHOOL,DROP OFF,0,0,0,6.27,10.6
"PEARL SCHOOL, WESTBAY",88694,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",88694,PM (Drop-off),2,STAFF (Part 1),DROP OFF,0,24,24,N/A,N/A
"PEARL SCHOOL, WESTBAY",88694,PM (Drop-off),3,STAFF (Part 4),DROP OFF,0,24,24,N/A,N/A
"PEARL SCHOOL, WESTBAY",88694,PM (Drop-off),4,BIN MAHMOUD,DROP OFF,9,5,14,N/A,N/A
"PEARL SCHOOL, WESTBAY",88694,PM (Drop-off),5,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),2,ONAIZA,PICK UP,4,0,4,6.09,8.9
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),3,PEARL QATAR,PICK UP,5,1,6,13.32,17.7
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),4,LUSAIL,PICK UP,6,0,6,22.39,31.2
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),5,AL KHOR FISH MARKET,PICK UP,1,0,1,58.65,61.9
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),6,AL SULTAN BEACH,PICK UP,8,3,11,59.25,63.8
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),7,THAKHIRA,PICK UP,0,4,4,61.57,67.5
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),8,AL THAKHIRA,PICK UP,1,0,1,70.38,75.9
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),9,AL KHOR BEHIND POLICE STATION,PICK UP,5,1,6,77.77,82.3
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),10,THUMAMA,PICK UP,0,13,13,81.29,87.2
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),11,AL KHOR - STADIUM SIDE,PICK UP,0,3,3,84.68,93.9
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),12,AL SAAD,PICK UP,5,4,9,122.69,124.6
"PEARL SCHOOL, WESTBAY",55791,AM (Pickup),13,SCHOOL,DROP OFF,0,0,0,133.19,136.8
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),2,AL SAAD,DROP OFF,5,4,9,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),3,AL KHOR - STADIUM SIDE,DROP OFF,0,3,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),4,THUMAMA,DROP OFF,0,13,13,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),5,AL KHOR BEHIND POLICE STATION,DROP OFF,5,1,6,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),6,AL THAKHIRA,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),7,THAKHIRA,DROP OFF,0,4,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),8,AL SULTAN BEACH,DROP OFF,8,3,11,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),9,AL KHOR FISH MARKET,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),10,LUSAIL,DROP OFF,6,0,6,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),11,PEARL QATAR,DROP OFF,5,1,6,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),12,ONAIZA,DROP OFF,4,0,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",55791,PM (Drop-off),13,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),2,MADINAT KHALIFA SOUTH (Part 1),PICK UP,13,2,14,7.98,9.5
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),3,MADINAT KHALIFA SOUTH (Part 2),PICK UP,12,1,14,7.98,9.5
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),4,AL MESSILA,PICK UP,1,0,1,11.03,14.2
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),5,BEHIND KABAYAN,PICK UP,5,0,5,19.20,23.7
"PEARL SCHOOL, WESTBAY",46386,AM (Pickup),6,SCHOOL,DROP OFF,0,0,0,20.39,25.9
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),2,BEHIND KABAYAN,DROP OFF,5,0,5,N/A,N/A
"PEARL SCHOOL, WESTBAY",46386,PM (Drop-off),3,AL MESSILA,DROP OFF,1,0,1,N/A,N/A
