School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL SCHOOL, AL MESHAF",252635,AM (Pickup),7,STAFF (Part 8),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252635,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),2,STAFF (Part 8),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),3,STAFF (Part 9),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),4,STAFF (Part 10),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),5,STAFF (Part 11),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),6,STAFF (Part 12),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),7,STAFF (Part 7),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252635,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),2,STAFF (Part 13),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),3,STAFF (Part 18),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),4,STAFF (Part 17),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),5,STAFF (Part 16),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),6,STAFF (Part 15),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),7,STAFF (Part 14),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252636,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),2,STAFF (Part 14),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),3,STAFF (Part 15),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),4,STAFF (Part 16),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),5,STAFF (Part 17),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),6,STAFF (Part 18),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),7,STAFF (Part 13),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252636,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),2,STAFF (Part 19),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),3,STAFF (Part 24),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),4,STAFF (Part 23),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),5,STAFF (Part 22),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),6,STAFF (Part 21),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),7,STAFF (Part 20),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",254775,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
