School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),12,EV 06,PICK UP,0,2,2,26.06,38.7
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),13,EV 03,PICK UP,1,1,2,26.06,38.7
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),14,EV 05,PICK UP,0,7,7,26.06,38.7
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),15,EV 04,PICK UP,1,2,3,26.06,38.7
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),16,MARKHIYA,PICK UP,0,1,1,30.97,44.6
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),17,MESHAF,PICK UP,0,5,5,33.98,50.2
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),18,EV 30,PICK UP,1,0,1,36.89,55.6
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),19,THUMAMA,PICK UP,2,6,8,77.56,85.6
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),20,PEARL QATAR,PICK UP,0,1,1,116.46,114.5
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),21,SCHOOL,DROP OFF,0,0,0,128.43,128.8
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),2,PEARL QATAR,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),3,THUMAMA,DROP OFF,2,6,8,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),4,EV 30,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),5,MESHAF,DROP OFF,0,5,5,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),6,MARKHIYA,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),7,EV 04,DROP OFF,1,2,3,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),8,EV 05,DROP OFF,0,7,7,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),9,EV 03,DROP OFF,1,1,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),10,EV 06,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,PM (Drop-off),11,EV 09,DROP OFF,1,0,1,N/A,N/A
